game_id,drive,drive_end_yard_line,desc,game_seconds_remaining,yardline_100,drive_game_clock_end,down,ydstogo,drive_ended_with_score,drive_play_id_ended,fixed_drive_result
2003_10_CHI_DET,24,CHI 42,(:34) 12-C.Chandler pass intended for 87-J.Gage INTERCEPTED by 25-C.Harris at DET 38. 25-C.Harris to DET 37 for -1 yards (87-J.Gage). Play Challenged by Replay Official and Upheld.,34,58,0:27,1,10,0,3569,Turnover
2003_10_PHI_GB,26,PHI 42,"(:21) 4-B.Favre pass to 85-W.Walls to PHI 50 for 14 yards (54-N.Wayne, 94-N.Kalu).",21,64,0:01,1,10,0,3618,Turnover
2003_10_TB_CAR,24,TB 41,(:35) 14-B.Johnson pass to 32-M.Pittman ran ob at TB 41 for 4 yards (54-W.Witherspoon).,35,63,0:09,1,10,0,3970,Turnover on downs
2003_11_STL_CHI,28,LA 40,(:31) 12-C.Chandler pass to 80-D.White to STL 44 for 11 yards (22-T.Fisher).,31,55,0:00,1,10,0,4635,Turnover on downs
2003_12_IND_BUF,21,BUF 46,"(1:02) (Shotgun) 11-D.Bledsoe pass to 82-J.Reed to BUF 46 for 8 yards (25-N.Harper). Caught over middle, BUF45.",62,62,0:34,1,10,0,4123,Turnover
2003_12_JAX_NYJ,23,JAX 48,(:16) (Shotgun) 7-B.Leftwich pass to 44-M.Edwards pushed ob at JAX 48 for 4 yards (21-A.Beasley).,16,56,0:00,1,10,0,3863,Turnover on downs
2003_12_STL_ARI,23,ARI 6,(1:35) 10-M.Bulger pass incomplete to 80-I.Bruce.,95,62,0:00,1,10,1,4088,Field goal
2003_15_CLE_DEN,20,CLE 17,(:37) (Shotgun) 16-J.Plummer pass to 85-A.Lelie to CLE 17 for 46 yards (39-M.Lehan).,37,63,0:06,1,10,1,3690,Field goal
2003_18_TEN_BAL,26,BAL 40,(:21) 2-A.Wright spiked the ball to stop the clock.,21,60,0:00,1,10,0,3608,End of half
2003_19_GB_PHI,23,GB 19,(2:00) 5-D.McNabb pass incomplete (42-D.Sharper).,120,58,0:05,1,10,1,3851,Field goal
2004_01_IND_NE,19,NE 29,(1:43) (Shotgun) 18-P.Manning pass to 83-B.Stokley to NE 19 for 45 yards (26-E.Wilson).,103,64,0:19,1,10,0,3808,Missed field goal
2004_02_DEN_JAX,21,JAX 23,(1:36) (Shotgun) 16-J.Plummer pass to 14-N.Jackson to JAX 35 for 20 yards (37-D.Grant).,96,55,0:37,1,10,0,3698,Turnover
2004_03_NO_STL,20,LA 20,(:24) (Shotgun) 2-A.Brooks pass incomplete to 82-B.Williams.,24,58,0:03,1,10,1,3904,Field goal
